CuStepNo ValueY,dataset_size,n_features,n_anom,n_normal,threshold_percentile,threshold_value,accuracy,precision,recall,f1
1,100,25,10,90,90,3.399931355019148e-17,0.82,0.1,0.1,0.1
1,1000,26,100,900,90,0.02488659881055355,0.846,0.23,0.23,0.23
1,5000,26,500,4500,90,8.231566539507185e-08,0.8496,0.248,0.248,0.248
3,100,23,10,90,90,2.387138212181799e-25,0.82,0.1,0.1,0.1
3,1000,24,100,900,90,3.5471315199198583e-16,0.82,0.1,0.1,0.1
3,5000,29,500,4500,90,5.746580831254654e-21,0.828,0.14,0.14,0.14
7,100,24,10,90,90,1.7417192526098978e-21,0.84,0.2,0.2,0.2
7,1000,26,100,900,90,3.1944971841391112e-12,0.876,0.38,0.38,0.38
8,100,28,10,90,90,1.1310158924970892e-06,0.88,0.4,0.4,0.4
8,1000,28,100,900,90,0.14255429804325104,0.87,0.35,0.35,0.35
8,5000,29,500,4500,90,0.01578165963292122,0.8804,0.402,0.402,0.402
